Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro IPCA+ com Juros Semestrais;15/05/2035;08/06/2022;5,78;5,9;4071,95;4028,09;4028,09
Tesouro Prefixado;01/01/2026;08/06/2022;12,77;12,89;651,64;648,86;648,86
Tesouro IPCA+ com Juros Semestrais;15/08/2030;27/05/2022;5,54;5,66;4152,27;4118,37;4118,37
Tesouro IPCA+ com Juros Semestrais;15/08/2040;27/05/2022;5,67;5,79;4182,34;4125,83;4125,83
Tesouro IPCA+ com Juros Semestrais;15/08/2050;27/05/2022;5,78;5,9;4158,92;4090,44;4090,44
Tesouro Selic;01/03/2027;27/05/2022;0,17;0,18;11619,57;11608,46;11608,46
Tesouro Prefixado com Juros Semestrais;01/01/2023;07/02/2022;11,97;12,09;994,81;993,43;993,43
Tesouro Prefixado;01/01/2025;07/02/2022;11,14;11,26;737,03;734,42;734,42
Tesouro Prefixado com Juros Semestrais;01/01/2029;07/02/2022;11,47;11,59;946,05;940,53;940,53
Tesouro IPCA+ com Juros Semestrais;15/08/2024;07/02/2022;5,45;5,57;3965,02;3953,11;3953,11
Tesouro IPCA+;15/08/2026;07/02/2022;5,13;5,25;3037,98;3021,25;3021,25
Tesouro IPCA+ com Juros Semestrais;15/05/2055;07/02/2022;5,56;5,68;4118,15;4046,38;4046,38
Tesouro Selic;01/03/2023;07/02/2022;0,02;0,03;11337,95;11332,16;11332,16
Tesouro IPCA+;15/05/2035;07/02/2022;5,56;5,68;1862,08;1833,61;1833,61
Tesouro Prefixado;01/01/2023;07/02/2022;11,97;12,09;903,98;902,7;902,7
Tesouro Prefixado;01/07/2024;07/02/2022;11,29;11,41;775,81;773,5;773,5
Tesouro Prefixado;01/01/2026;07/02/2022;11,17;11,29;662,18;659,12;659,12
Tesouro Prefixado com Juros Semestrais;01/01/2027;07/02/2022;11,18;11,3;969,37;964,86;964,86
Tesouro IPCA+;15/05/2045;07/02/2022;5,56;5,68;1085,57;1056,92;1056,92
Tesouro IPCA+ com Juros Semestrais;15/08/2030;07/02/2022;5,4;5,52;4071,52;4039,31;4039,31
Tesouro IPCA+ com Juros Semestrais;15/08/2040;07/02/2022;5,55;5,67;4115,34;4061,16;4061,16
Tesouro IPCA+ com Juros Semestrais;15/08/2050;07/02/2022;5,57;5,69;4153,35;4086,02;4086,02
Tesouro Selic;01/03/2027;07/02/2022;0,22;0,23;11217,64;11207,36;11207,36
Tesouro IPCA+ com Juros Semestrais;15/05/2045;07/02/2022;5,58;5,7;4071,26;4010,2;4010,2
Tesouro IGPM+ com Juros Semestrais;01/01/2031;07/02/2022;5,41;5,53;8911,08;8842,86;8842,86
Tesouro IPCA+ com Juros Semestrais;15/08/2026;07/02/2022;5,17;5,29;4039,52;4019,96;4019,96
Tesouro Selic;01/09/2024;07/02/2022;0,07;0,08;11319,93;11312,42;11312,42
Tesouro Prefixado com Juros Semestrais;01/01/2031;07/02/2022;11,47;11,59;934,71;928,36;928,36
Tesouro Prefixado com Juros Semestrais;01/01/2025;07/02/2022;11,05;11,17;986,47;983,34;983,34
Tesouro IPCA+ com Juros Semestrais;15/05/2035;07/02/2022;5,52;5,64;4032,83;3988,84;3988,84
Tesouro Selic;01/03/2025;07/02/2022;0,1;0,11;11304,36;11296,28;11296,28
Tesouro IPCA+;15/08/2024;07/02/2022;5,42;5,54;3335,25;3324,47;3324,47
Tesouro IPCA+;15/05/2035;02/06/2022;5,75;5,87;1928,74;1899,94;1899,94
Tesouro Prefixado;01/01/2023;02/06/2022;13,41;13,53;929,68;928,65;928,65
Tesouro Prefixado;01/07/2024;02/06/2022;12,78;12,9;780,59;778,51;778,51
Tesouro Prefixado;01/01/2029;02/06/2022;12,56;12,68;460,41;456,99;456,99
Tesouro Prefixado com Juros Semestrais;01/01/2027;26/05/2022;12,39;12,51;961,5;957,35;957,35
Tesouro IPCA+;15/08/2024;26/05/2022;5,84;5,96;3495,03;3484,82;3484,82
Tesouro IPCA+;15/05/2045;26/05/2022;5,74;5,86;1104,14;1075,39;1075,39
Tesouro Prefixado com Juros Semestrais;01/01/2025;02/06/2022;12,65;12,77;987,3;984,49;984,49
Tesouro IPCA+ com Juros Semestrais;15/05/2035;02/06/2022;5,72;5,84;4085;4040,86;4040,86
Tesouro Prefixado;01/01/2026;02/06/2022;12,45;12,57;657,04;654,23;654,23
Tesouro Selic;01/03/2025;02/06/2022;0,11;0,12;11700,56;11691,73;11691,73
Tesouro Prefixado com Juros Semestrais;01/01/2027;02/06/2022;12,62;12,74;956,68;952,57;952,57
Tesouro IPCA+;15/08/2024;02/06/2022;5,71;5,83;3513,06;3502,89;3502,89
Tesouro IPCA+ com Juros Semestrais;15/08/2040;02/06/2022;5,73;5,85;4162,44;4107,96;4107,96
Tesouro IPCA+ com Juros Semestrais;15/08/2050;02/06/2022;5,85;5,97;4127,53;4061,5;4061,5
Tesouro Selic;01/03/2027;02/06/2022;0,17;0,18;11641,32;11630,22;11630,22
Tesouro Prefixado com Juros Semestrais;01/01/2023;06/06/2022;13,43;13,55;1024,33;1023,22;1023,22
Tesouro Prefixado;01/01/2025;06/06/2022;12,54;12,66;738,36;735,99;735,99
Tesouro Prefixado com Juros Semestrais;01/01/2029;06/06/2022;12,63;12,75;933,24;928,18;928,18
Tesouro IPCA+ com Juros Semestrais;15/08/2024;06/06/2022;5,71;5,83;4067,15;4056,04;4056,04
Tesouro IPCA+;15/08/2026;06/06/2022;5,49;5,61;3174,44;3158,08;3158,08
Tesouro Prefixado com Juros Semestrais;01/01/2033;06/06/2022;12,67;12,79;896,07;889,79;889,79
Tesouro IPCA+ com Juros Semestrais;15/05/2045;06/06/2022;5,79;5,91;4096,71;4035,73;4035,73
Tesouro IGPM+ com Juros Semestrais;01/01/2031;06/06/2022;5,55;5,67;9482,65;9415,51;9415,51
Tesouro IPCA+ com Juros Semestrais;15/05/2055;06/06/2022;5,83;5,95;4091,81;4021,58;4021,58
Tesouro IPCA+ com Juros Semestrais;15/08/2026;06/06/2022;5,51;5,63;4113,59;4094,62;4094,62
Tesouro Selic;01/03/2023;06/06/2022;0,03;0,04;11745,8;11739,33;11739,33
Tesouro Selic;01/09/2024;06/06/2022;0,1;0,11;11722,71;11714,46;11714,46
Tesouro Prefixado com Juros Semestrais;01/01/2031;06/06/2022;12,62;12,74;914,19;908,41;908,41
Tesouro IPCA+;15/05/2035;06/06/2022;5,73;5,85;1935,78;1906,88;1906,88
Tesouro Prefixado;01/01/2023;06/06/2022;13,43;13,55;930,52;929,49;929,49
Tesouro Prefixado;01/07/2024;06/06/2022;12,82;12,94;780,77;778,69;778,69
Tesouro Prefixado com Juros Semestrais;01/01/2023;11/04/2022;12,95;13,07;1008,03;1006,79;1006,79
Tesouro Prefixado;01/01/2025;11/04/2022;11,89;12,01;736,83;734,36;734,36
Tesouro Prefixado com Juros Semestrais;01/01/2029;11/04/2022;11,8;11,92;950;944,65;944,65
Tesouro IPCA+ com Juros Semestrais;15/08/2024;11/04/2022;5,38;5,5;3994,7;3981,82;3981,82
Tesouro IPCA+;15/08/2026;11/04/2022;5,24;5,36;3129,57;3111,89;3111,89
Tesouro Prefixado com Juros Semestrais;01/01/2033;11/04/2022;11,86;11,98;921,55;914,81;914,81
Tesouro IPCA+ com Juros Semestrais;15/05/2045;11/04/2022;5,62;5,74;4195,74;4132,34;4132,34
Tesouro IGPM+ com Juros Semestrais;01/01/2031;11/04/2022;5,41;5,53;9334,68;9264,54;9264,54
Tesouro IPCA+ com Juros Semestrais;15/05/2055;11/04/2022;5,63;5,75;4222,42;4148,64;4148,64
Tesouro IPCA+ com Juros Semestrais;15/08/2026;11/04/2022;5,25;5,37;4052,24;4031,52;4031,52
Tesouro Selic;01/03/2023;11/04/2022;0,01;0,02;11544,13;11538,02;11538,02
Tesouro Selic;01/09/2024;11/04/2022;0,06;0,07;11527,75;11519,9;11519,9
Tesouro Prefixado com Juros Semestrais;01/01/2031;11/04/2022;11,87;11,99;932,79;926,67;926,67
Tesouro IPCA+;15/05/2035;11/04/2022;5,51;5,63;1940,24;1910,28;1910,28
Tesouro Prefixado;01/01/2023;11/04/2022;12,94;13,06;915,86;914,71;914,71
Tesouro Prefixado;01/07/2024;11/04/2022;12,19;12,31;776,21;774,03;774,03
Tesouro Prefixado;01/01/2029;11/04/2022;11,76;11,88;474,85;471,24;471,24
Tesouro Prefixado com Juros Semestrais;01/01/2025;11/04/2022;11,99;12,11;984,31;981,36;981,36
Tesouro IPCA+ com Juros Semestrais;15/05/2035;11/04/2022;5,48;5,6;4190,45;4144,09;4144,09
Tesouro Prefixado;01/01/2026;11/04/2022;11,71;11,83;662,2;659,26;659,26
Tesouro Selic;01/03/2025;11/04/2022;0,08;0,09;11520,47;11512,04;11512,04
Tesouro Prefixado com Juros Semestrais;01/01/2027;11/04/2022;11,8;11,92;966,65;962,34;962,34
Tesouro IPCA+;15/08/2024;11/04/2022;5,37;5,49;3456,88;3445,19;3445,19
Tesouro IPCA+;15/05/2045;11/04/2022;5,51;5,63;1136,49;1106,33;1106,33
Tesouro IPCA+ com Juros Semestrais;15/08/2032;11/04/2022;5,47;5,59;4103,9;4064,47;4064,47
Tesouro IPCA+ com Juros Semestrais;15/08/2030;11/04/2022;5,4;5,52;4098,81;4064,91;4064,91
Tesouro IPCA+ com Juros Semestrais;15/08/2040;11/04/2022;5,52;5,64;4158,75;4101,84;4101,84
Tesouro IPCA+ com Juros Semestrais;15/08/2050;11/04/2022;5,63;5,75;4150,85;4081,41;4081,41
Tesouro Selic;01/03/2027;11/04/2022;0,18;0,19;11446,31;11435,62;11435,62
Tesouro Prefixado com Juros Semestrais;01/01/2023;02/06/2022;13,4;13,52;1023,46;1022,34;1022,34
Tesouro Prefixado;01/01/2025;02/06/2022;12,52;12,64;738,01;735,64;735,64
Tesouro Prefixado com Juros Semestrais;01/01/2029;02/06/2022;12,69;12,81;930,05;925;925
Tesouro IPCA+ com Juros Semestrais;15/08/2024;02/06/2022;5,72;5,84;4061,48;4050,35;4050,35
Tesouro IPCA+;15/08/2026;02/06/2022;5,58;5,7;3159,36;3143,06;3143,06
Tesouro Prefixado com Juros Semestrais;01/01/2033;02/06/2022;12,73;12,85;892,29;886,03;886,03
Tesouro IPCA+ com Juros Semestrais;15/05/2045;02/06/2022;5,82;5,94;4076,83;4016,21;4016,21
Tesouro Prefixado com Juros Semestrais;01/01/2023;18/02/2022;12,36;12,48;995,94;994,59;994,59
Tesouro Prefixado;01/01/2025;18/02/2022;11,46;11,58;733,77;731,2;731,2
Tesouro Prefixado com Juros Semestrais;01/01/2029;18/02/2022;11,47;11,59;949,73;944,22;944,22
Tesouro IPCA+ com Juros Semestrais;15/08/2024;18/02/2022;5,64;5,76;3855,45;3840,76;3840,76
Tesouro IPCA+;15/08/2026;18/02/2022;5,32;5,44;3028,12;3009,25;3009,25
Tesouro IPCA+ com Juros Semestrais;15/05/2055;18/02/2022;5,68;5,8;4068,32;3995,19;3995,19
Tesouro Selic;01/03/2023;18/02/2022;0,02;0,03;11379,27;11373,5;11373,5
Tesouro IPCA+;15/05/2035;18/02/2022;5,65;5,77;1850,46;1820,85;1820,85
Tesouro Prefixado;01/01/2023;18/02/2022;12,36;12,48;904,93;903,68;903,68
Tesouro Prefixado;01/07/2024;18/02/2022;11,72;11,84;771,79;769,52;769,52
Tesouro Prefixado;01/01/2026;18/02/2022;11,36;11,48;660,32;657,3;657,3
Tesouro Prefixado com Juros Semestrais;01/01/2027;18/02/2022;11,24;11,36;971;966,52;966,52
Tesouro IPCA+;15/05/2045;18/02/2022;5,65;5,77;1069,66;1040,7;1040,7
Tesouro IPCA+ com Juros Semestrais;15/08/2030;18/02/2022;5,53;5,65;3945,45;3910,59;3910,59
Tesouro IPCA+ com Juros Semestrais;15/08/2040;18/02/2022;5,65;5,77;3978,9;3922,44;3922,44
Tesouro IPCA+ com Juros Semestrais;15/08/2050;18/02/2022;5,7;5,82;3989,8;3921,08;3921,08
Tesouro Selic;01/03/2027;18/02/2022;0,19;0,2;11272,57;11262,29;11262,29
Tesouro IPCA+ com Juros Semestrais;15/05/2045;18/02/2022;5,7;5,82;4031,97;3968,99;3968,99
Tesouro IGPM+ com Juros Semestrais;01/01/2031;18/02/2022;5,54;5,66;8953,6;8871,38;8871,38
Tesouro IPCA+ com Juros Semestrais;15/08/2026;18/02/2022;5,36;5,48;3917,78;3895,47;3895,47
Tesouro Selic;01/09/2024;18/02/2022;0,06;0,07;11364,18;11356,68;11356,68
Tesouro Prefixado com Juros Semestrais;01/01/2031;18/02/2022;11,48;11,6;937,85;931,52;931,52
Tesouro Prefixado com Juros Semestrais;01/01/2025;18/02/2022;11,36;11,48;983,24;980,16;980,16
Tesouro IPCA+ com Juros Semestrais;15/05/2035;18/02/2022;5,62;5,74;4017,44;3970,83;3970,83
Tesouro Selic;01/03/2025;18/02/2022;0,09;0,1;11351,37;11343,3;11343,3
Tesouro IPCA+;15/08/2024;18/02/2022;5,61;5,73;3336,85;3323,62;3323,62
Tesouro Prefixado com Juros Semestrais;01/01/2023;11/03/2022;13,03;13,15;997,3;995,99;995,99
Tesouro Prefixado;01/01/2025;11/03/2022;12,29;12,41;722,71;720,21;720,21
Tesouro Prefixado com Juros Semestrais;01/01/2029;11/03/2022;12,2;12,32;924,8;919,53;919,53
Tesouro IPCA+ com Juros Semestrais;15/08/2024;11/03/2022;5,73;5,85;3889,07;3873,98;3873,98
Tesouro IPCA+;15/08/2026;11/03/2022;5,62;5,74;3021,74;3002,71;3002,71
Tesouro IPCA+ com Juros Semestrais;15/05/2055;11/03/2022;5,8;5,92;4042,91;3970,66;3970,66
Tesouro Selic;01/03/2023;11/03/2022;0;0,01;11441,18;11435,44;11435,44
Tesouro IPCA+;15/05/2035;11/03/2022;5,78;5,9;1840,28;1810,73;1810,73
Tesouro Prefixado;01/01/2023;11/03/2022;13,02;13,14;906,1;904,89;904,89
Tesouro Prefixado;01/07/2024;11/03/2022;12,55;12,67;763,2;760,98;760,98
Tesouro Prefixado;01/01/2029;11/03/2022;12,22;12,34;457,54;454,03;454,03
Tesouro Prefixado;01/01/2026;11/03/2022;12,12;12,24;647,03;644,11;644,11
Tesouro Prefixado com Juros Semestrais;01/01/2027;11/03/2022;12,01;12,13;950,85;946,53;946,53
Tesouro IPCA+;15/05/2045;11/03/2022;5,78;5,9;1050,81;1022,31;1022,31
Tesouro IPCA+ com Juros Semestrais;15/08/2030;11/03/2022;5,76;5,88;3929,39;3894,5;3894,5
Tesouro IPCA+;15/05/2045;02/06/2022;5,75;5,87;1104,44;1075,71;1075,71
Tesouro IPCA+ com Juros Semestrais;15/08/2032;02/06/2022;5,68;5,8;4136,87;4099,28;4099,28
Tesouro IPCA+ com Juros Semestrais;15/08/2030;02/06/2022;5,59;5,71;4146,19;4113,99;4113,99
Tesouro IPCA+ com Juros Semestrais;15/08/2040;11/03/2022;5,79;5,91;3960,62;3904,45;3904,45
Tesouro IPCA+ com Juros Semestrais;15/08/2050;11/03/2022;5,8;5,92;3978,61;3910,27;3910,27
Tesouro IGPM+ com Juros Semestrais;01/01/2031;11/03/2022;5,75;5,87;8954,53;8881,34;8881,34
Tesouro IPCA+ com Juros Semestrais;15/08/2026;11/03/2022;5,63;5,75;3919,32;3896,76;3896,76
Tesouro Selic;01/09/2024;11/03/2022;0,03;0,04;11432,19;11424,72;11424,72
Tesouro Prefixado com Juros Semestrais;01/01/2031;11/03/2022;12,13;12,25;911,75;905,71;905,71
Tesouro Prefixado com Juros Semestrais;01/01/2025;11/03/2022;12,21;12,33;970,36;967,36;967,36
Tesouro IPCA+ com Juros Semestrais;15/05/2035;11/03/2022;5,77;5,89;4007,67;3961,07;3961,07
Tesouro Selic;01/03/2025;11/03/2022;0,05;0,06;11423,3;11415,25;11415,25
Tesouro IPCA+;15/08/2024;11/03/2022;5,72;5,84;3363,96;3350,39;3350,39
Tesouro IPCA+ com Juros Semestrais;15/08/2032;11/03/2022;5,76;5,88;3938,82;3898,62;3898,62
Tesouro IGPM+ com Juros Semestrais;01/01/2031;02/06/2022;5,61;5,73;9440,33;9373,48;9373,48
Tesouro IPCA+ com Juros Semestrais;15/05/2055;02/06/2022;5,86;5,98;4069,57;3999,84;3999,84
Tesouro IPCA+ com Juros Semestrais;15/08/2026;02/06/2022;5,6;5,72;4095,72;4076,8;4076,8
Tesouro Selic;01/03/2023;02/06/2022;0,03;0,04;11734,76;11728,3;11728,3
Tesouro Selic;01/09/2024;02/06/2022;0,1;0,11;11711,17;11702,93;11702,93
Tesouro Prefixado com Juros Semestrais;01/01/2031;02/06/2022;12,71;12,83;909,31;903,56;903,56
Tesouro Prefixado com Juros Semestrais;01/01/2023;12/05/2022;13,34;13,46;1016,16;1014,99;1014,99
Tesouro Prefixado;01/01/2025;12/05/2022;12,57;12,69;731,99;729,59;729,59
Tesouro Prefixado com Juros Semestrais;01/01/2029;12/05/2022;12,67;12,79;924,23;919,16;919,16
Tesouro IPCA+ com Juros Semestrais;15/08/2024;12/05/2022;5,53;5,65;4045,99;4033,99;4033,99
Tesouro IPCA+;15/08/2026;12/05/2022;5,6;5,72;3133,1;3116,22;3116,22
Tesouro Prefixado com Juros Semestrais;01/01/2033;12/05/2022;12,72;12,84;886,43;880,16;880,16
Tesouro IPCA+ com Juros Semestrais;15/05/2045;12/05/2022;5,9;6,02;4123,11;4062,82;4062,82
Tesouro IGPM+ com Juros Semestrais;01/01/2031;12/05/2022;5,7;5,82;9328,19;9261,68;9261,68
Tesouro IPCA+ com Juros Semestrais;15/05/2055;12/05/2022;5,91;6,03;4126,65;4057,26;4057,26
Tesouro IPCA+ com Juros Semestrais;15/08/2026;12/05/2022;5,59;5,71;4066,36;4046,65;4046,65
Tesouro Selic;01/03/2023;12/05/2022;0,05;0,06;11649,46;11642,95;11642,95
Tesouro Selic;01/09/2024;12/05/2022;0,13;0,14;11620,65;11612,39;11612,39
Tesouro Prefixado com Juros Semestrais;01/01/2031;12/05/2022;12,68;12,8;904,2;898,42;898,42
Tesouro IPCA+;15/05/2035;12/05/2022;5,84;5,96;1893,08;1864,4;1864,4
Tesouro Prefixado;01/01/2023;12/05/2022;13,34;13,46;923,11;922,02;922,02
Tesouro Prefixado;01/07/2024;12/05/2022;12,84;12,96;774,15;772,04;772,04
Tesouro Prefixado;01/01/2029;12/05/2022;12,59;12,71;456,37;452,95;452,95
Tesouro Prefixado com Juros Semestrais;01/01/2025;12/05/2022;12,64;12,76;980,53;977,67;977,67
Tesouro IPCA+ com Juros Semestrais;15/05/2035;12/05/2022;5,8;5,92;4142,41;4098,02;4098,02
Tesouro Prefixado;01/01/2026;12/05/2022;12,47;12,59;652,05;649,22;649,22
Tesouro Selic;01/03/2025;12/05/2022;0,13;0,14;11611,03;11602,18;11602,18
Tesouro Prefixado com Juros Semestrais;01/01/2027;12/05/2022;12,55;12,67;952,09;947,95;947,95
Tesouro IPCA+;15/08/2024;12/05/2022;5,54;5,66;3499,06;3488,14;3488,14
Tesouro IPCA+;15/05/2045;12/05/2022;5,84;5,96;1074,87;1046,69;1046,69
Tesouro IPCA+ com Juros Semestrais;15/08/2032;12/05/2022;5,76;5,88;4081,58;4043,62;4043,62
Tesouro IPCA+ com Juros Semestrais;15/08/2030;12/05/2022;5,7;5,82;4087;4054,39;4054,39
Tesouro IPCA+ com Juros Semestrais;15/08/2040;12/05/2022;5,81;5,93;4095,61;4041,26;4041,26
Tesouro IPCA+ com Juros Semestrais;15/08/2050;12/05/2022;5,91;6,03;4063,65;3998;3998
Tesouro Selic;01/03/2027;12/05/2022;0,18;0,19;11556,22;11545,13;11545,13
Tesouro Prefixado com Juros Semestrais;01/01/2023;14/02/2022;12,44;12,56;993,5;992,14;992,14
Tesouro Prefixado;01/01/2025;14/02/2022;11,43;11,55;733,07;730,49;730,49
Tesouro Prefixado com Juros Semestrais;01/01/2029;14/02/2022;11,49;11,61;947,24;941,73;941,73
Tesouro IPCA+ com Juros Semestrais;15/08/2024;14/02/2022;5,7;5,82;3839,67;3940,55;3940,55
Tesouro IPCA+;15/08/2026;14/02/2022;5,32;5,44;3019,89;3003,34;3003,34
Tesouro IPCA+ com Juros Semestrais;15/05/2055;14/02/2022;5,67;5,79;4062,82;3992,76;3992,76
Tesouro Selic;01/03/2023;14/02/2022;0,02;0,03;11360,75;11354,96;11354,96
Tesouro IPCA+;15/05/2035;14/02/2022;5,66;5,78;1843,04;1814,92;1814,92
Tesouro Prefixado;01/01/2023;14/02/2022;12,42;12,54;902,84;901,58;901,58
Tesouro Prefixado;01/07/2024;14/02/2022;11,7;11,82;770,76;768,48;768,48
Tesouro Prefixado;01/01/2026;14/02/2022;11,33;11,45;659,88;656,85;656,85
Tesouro Prefixado com Juros Semestrais;01/01/2027;14/02/2022;11,24;11,36;969,36;964,87;964,87
Tesouro IPCA+;15/05/2045;14/02/2022;5,66;5,78;1064,37;1036,33;1036,33
Tesouro IPCA+ com Juros Semestrais;15/08/2030;14/02/2022;5,57;5,69;3924,48;4005,38;4005,38
Tesouro IPCA+ com Juros Semestrais;15/08/2040;14/02/2022;5,65;5,77;3967,89;4027,17;4027,17
Tesouro IPCA+ com Juros Semestrais;15/08/2050;14/02/2022;5,68;5,8;3989,55;4036,34;4036,34
Tesouro Selic;01/03/2027;14/02/2022;0,21;0,22;11244,22;11233,94;11233,94
Tesouro IPCA+ com Juros Semestrais;15/05/2045;14/02/2022;5,68;5,8;4030,61;3970,6;3970,6
Tesouro IGPM+ com Juros Semestrais;01/01/2031;14/02/2022;5,57;5,69;8874,59;8805,94;8805,94
Tesouro IPCA+ com Juros Semestrais;15/08/2026;14/02/2022;5,36;5,48;3907,11;4000,42;4000,42
Tesouro Selic;01/03/2027;11/03/2022;0,17;0,18;11346,64;11336,37;11336,37
Tesouro Prefixado com Juros Semestrais;01/01/2033;11/03/2022;12,24;12,36;893,1;886,55;886,55
Tesouro IPCA+ com Juros Semestrais;15/05/2045;11/03/2022;5,8;5,92;4026,14;3963,31;3963,31
Tesouro Selic;01/09/2024;14/02/2022;0,07;0,08;11344,48;11336,98;11336,98
Tesouro Prefixado com Juros Semestrais;01/01/2031;14/02/2022;11,53;11,65;933,75;927,44;927,44
Tesouro Prefixado com Juros Semestrais;01/01/2025;14/02/2022;11,33;11,45;982,23;979,14;979,14
Tesouro IPCA+ com Juros Semestrais;15/05/2035;14/02/2022;5,63;5,75;4002,82;3959,39;3959,39
Tesouro Selic;01/03/2025;14/02/2022;0,1;0,11;11330,35;11322,27;11322,27
Tesouro IPCA+;15/08/2024;14/02/2022;5,67;5,79;3322,94;3312,27;3312,27
Tesouro Prefixado com Juros Semestrais;01/01/2023;27/05/2022;13,32;13,44;1021,83;1020,7;1020,7
Tesouro Prefixado;01/01/2025;27/05/2022;12,2;12,32;742,08;739,69;739,69
Tesouro Prefixado com Juros Semestrais;01/01/2029;27/05/2022;12,35;12,47;941,53;936,39;936,39
Tesouro IPCA+ com Juros Semestrais;15/08/2024;27/05/2022;5,79;5,91;4049,27;4036,57;4036,57
Tesouro IPCA+;15/08/2026;27/05/2022;5,48;5,6;3166,85;3149,25;3149,25
Tesouro Prefixado com Juros Semestrais;01/01/2033;27/05/2022;12,45;12,57;904,45;898,05;898,05
Tesouro IPCA+ com Juros Semestrais;15/05/2045;27/05/2022;5,76;5,88;4100,02;4037,25;4037,25
Tesouro IGPM+ com Juros Semestrais;01/01/2031;27/05/2022;5,56;5,68;9438,12;9369,38;9369,38
Tesouro IPCA+ com Juros Semestrais;15/05/2055;27/05/2022;5,79;5,91;4103,34;4031,04;4031,04
Tesouro IPCA+ com Juros Semestrais;15/08/2026;27/05/2022;5,51;5,63;4102,11;4081,53;4081,53
Tesouro Selic;01/03/2023;27/05/2022;0,03;0,04;11712,21;11705,73;11705,73
Tesouro Selic;01/09/2024;27/05/2022;0,1;0,11;11687,7;11679,46;11679,46
Tesouro Prefixado com Juros Semestrais;01/01/2031;27/05/2022;12,41;12,53;921,09;915,22;915,22
Tesouro IPCA+;15/05/2035;27/05/2022;5,69;5,81;1939,74;1910;1910
Tesouro Prefixado;01/01/2023;27/05/2022;13,32;13,44;928,27;927,22;927,22
Tesouro Prefixado;01/07/2024;27/05/2022;12,49;12,61;783,28;781,18;781,18
Tesouro Prefixado;01/01/2029;27/05/2022;12,22;12,34;468,77;465,28;465,28
Tesouro Prefixado com Juros Semestrais;01/01/2025;27/05/2022;12,31;12,43;992,17;989,32;989,32
Tesouro IPCA+ com Juros Semestrais;15/05/2035;27/05/2022;5,66;5,78;4099,75;4053,78;4053,78
Tesouro Prefixado;01/01/2026;27/05/2022;12,07;12,19;663,85;661;661
Tesouro Prefixado com Juros Semestrais;01/01/2023;13/05/2022;13,39;13,51;1016,39;1015,22;1015,22
Tesouro Prefixado;01/01/2025;13/05/2022;12,62;12,74;731,47;729,08;729,08
Tesouro Prefixado com Juros Semestrais;01/01/2029;13/05/2022;12,64;12,76;925,83;920,75;920,75
Tesouro IPCA+ com Juros Semestrais;15/08/2024;13/05/2022;5,52;5,64;4051,11;4037,1;4037,1
Tesouro IPCA+;15/08/2026;13/05/2022;5,56;5,68;3141,5;3123,02;3123,02
Tesouro Prefixado com Juros Semestrais;01/01/2033;13/05/2022;12,68;12,8;888,82;882,53;882,53
Tesouro IPCA+ com Juros Semestrais;15/05/2045;13/05/2022;5,82;5,94;4050,01;4103,66;4103,66
Tesouro IGPM+ com Juros Semestrais;01/01/2031;13/05/2022;5,61;5,73;9382,35;9312,4;9312,4
Tesouro IPCA+ com Juros Semestrais;15/05/2055;13/05/2022;5,83;5,95;4059,96;4104,11;4104,11
Tesouro IPCA+ com Juros Semestrais;15/08/2026;13/05/2022;5,55;5,67;4076,52;4054,75;4054,75
Tesouro Selic;01/03/2023;13/05/2022;0,05;0,06;11655,17;11648,67;11648,67
Tesouro Selic;01/09/2024;13/05/2022;0,12;0,14;11626,62;11618,37;11618,37
Tesouro Prefixado com Juros Semestrais;01/01/2031;13/05/2022;12,63;12,75;906,86;901,07;901,07
Tesouro IPCA+;15/05/2035;13/05/2022;5,76;5,88;1913,78;1883,83;1883,83
Tesouro Prefixado;01/01/2023;13/05/2022;13,38;13,5;923,36;922,28;922,28
Tesouro Prefixado;01/07/2024;13/05/2022;12,93;13,05;773,22;771,11;771,11
Tesouro Prefixado;01/01/2029;13/05/2022;12,56;12,68;457,39;453,97;453,97
Tesouro Prefixado com Juros Semestrais;01/01/2025;13/05/2022;12,7;12,82;979,8;976,94;976,94
Tesouro IPCA+ com Juros Semestrais;15/05/2035;13/05/2022;5,72;5,84;4058,34;4128,34;4128,34
Tesouro Prefixado;01/01/2026;13/05/2022;12,49;12,61;651,93;649,1;649,1
Tesouro Selic;01/03/2025;13/05/2022;0,13;0,14;11617,09;11608,26;11608,26
Tesouro Prefixado com Juros Semestrais;01/01/2027;13/05/2022;12,56;12,68;952,23;948,09;948,09
Tesouro IPCA+;15/08/2024;13/05/2022;5,53;5,65;3503,54;3490,87;3490,87
Tesouro IPCA+;15/05/2045;13/05/2022;5,76;5,88;1094,84;1065,6;1065,6
Tesouro IPCA+ com Juros Semestrais;15/08/2032;13/05/2022;5,69;5,81;4106,95;4066,69;4066,69
Tesouro Prefixado;01/01/2029;06/06/2022;12,53;12,65;461,65;458,22;458,22
Tesouro Prefixado com Juros Semestrais;01/01/2025;06/06/2022;12,66;12,78;988,04;985,23;985,23
Tesouro IPCA+ com Juros Semestrais;15/05/2035;06/06/2022;5,69;5,81;4100,61;4056,31;4056,31
Tesouro Prefixado;01/01/2026;06/06/2022;12,45;12,57;657,66;654,85;654,85
Tesouro Selic;01/03/2025;06/06/2022;0,11;0,12;11711,92;11703,09;11703,09
