Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Prefixado;01/01/2023;07/06/2022;13,41;13,53;931,08;930,05;930,05
Tesouro Prefixado;01/07/2024;07/06/2022;12,92;13,04;779,73;777,65;777,65
Tesouro Prefixado;01/01/2029;07/06/2022;12,73;12,85;456,53;453,14;453,14
Tesouro Prefixado com Juros Semestrais;01/01/2025;07/06/2022;12,76;12,88;986,56;983,76;983,76
Tesouro IPCA+ com Juros Semestrais;15/05/2035;07/06/2022;5,75;5,87;4080,91;4036,9;4036,9
Tesouro Prefixado;01/01/2026;07/06/2022;12,61;12,73;654,63;651,84;651,84
Tesouro Selic;01/03/2025;07/06/2022;0,11;0,12;11717,48;11708,66;11708,66
Tesouro Prefixado com Juros Semestrais;01/01/2027;07/06/2022;12,73;12,85;954,69;950,61;950,61
Tesouro IPCA+;15/08/2024;07/06/2022;5,73;5,85;3517,27;3507,13;3507,13
Tesouro IPCA+;15/05/2045;07/06/2022;5,79;5,91;1096,71;1068,2;1068,2
Tesouro IPCA+ com Juros Semestrais;15/08/2032;07/06/2022;5,7;5,82;4137,51;4099,99;4099,99
Tesouro IPCA+ com Juros Semestrais;15/08/2030;07/06/2022;5,6;5,72;4150,26;4118,09;4118,09
Tesouro IPCA+ com Juros Semestrais;15/08/2040;07/06/2022;5,76;5,88;4155,86;4101,6;4101,6
Tesouro IPCA+ com Juros Semestrais;15/08/2050;07/06/2022;5,89;6,01;4112,61;4047,06;4047,06
Tesouro Selic;01/03/2027;07/06/2022;0,17;0,18;11658,52;11647,42;11647,42
Tesouro Prefixado com Juros Semestrais;01/01/2023;26/04/2022;12,95;13,07;1012,42;1011,22;1011,22
Tesouro Prefixado;01/01/2025;26/04/2022;12,06;12,18;736,79;734,34;734,34
Tesouro Prefixado com Juros Semestrais;01/01/2029;26/04/2022;12,09;12,21;941,99;936,73;936,73
Tesouro IPCA+ com Juros Semestrais;15/08/2024;26/04/2022;5,49;5,61;4011,52;3999,8;3999,8
Tesouro IPCA+;15/08/2026;26/04/2022;5,32;5,44;3139,42;3122,63;3122,63
Tesouro Prefixado com Juros Semestrais;01/01/2033;26/04/2022;12,19;12,31;908,03;901,48;901,48
Tesouro IPCA+ com Juros Semestrais;15/05/2045;26/04/2022;5,72;5,84;4172,69;4111,25;4111,25
Tesouro IGPM+ com Juros Semestrais;01/01/2031;26/04/2022;5,45;5,57;9427,2;9355,35;9355,35
Tesouro IPCA+ com Juros Semestrais;15/05/2055;26/04/2022;5,75;5,87;4179,12;4108,08;4108,08
Tesouro IPCA+ com Juros Semestrais;15/08/2026;26/04/2022;5,33;5,45;4066,47;4046,92;4046,92
Tesouro Selic;01/03/2023;26/04/2022;0,05;0,06;11586,05;11579,93;11579,93
Tesouro Selic;01/09/2024;26/04/2022;0,12;0,13;11557,51;11549,65;11549,65
Tesouro Prefixado com Juros Semestrais;01/01/2031;26/04/2022;12,16;12,28;922,86;916,87;916,87
Tesouro IPCA+;15/05/2035;26/04/2022;5,61;5,73;1928,97;1899,79;1899,79
Tesouro Prefixado;01/01/2023;26/04/2022;12,95;13,07;919,79;918,68;918,68
